MUNICIPIO,PUNTO UBICACIÓN ZONA WIFI,DIRECCION,UBICACIÓN,Ubicación en dos columnas
"Tuluá,Lago Chilicote,calle 34 con carrera 21,""(4.078504, -76.202735)"",""(4078504.0, -76202735)"""
"Ulloa,Parque principal,Cra 3 y 4 con calle 7,""(4.703495, -75.737876)"",""(4703495.0, -75737876)"""
"Versalles,Parque principal,calle 9 entre carrera 6 y 7,""(4.575306, -76.1998)"",""(4575306.0, -7.61998E+7)"""
"Vijes,Parque Villa Esperanza,calle 8 con calle 7,""(3.696044, -76.442244)"",""(3696044.0, -76442244)"""
"Yotoco,Parque Recreacional,Cra 7 nro. 5-37,""(3.861095, -76.385163)"",""(3861095.0, -76385163)"""
"Yotoco,Instituto Municipal de Deportes,Cra 7 No. 5-37,""(3.860806, -76.382856)"",""(3860806.0, -76382856)"""
"Yumbo,Parque Barrio Guadalupe,Calle 16 No. 16n 30,""(3.58389, -76.4855)"",""(3583890.0, -7.64855E+7)"""
"Yumbo,IMDERTY,Calle 16 Kra 4,""(3.582572, -76.48304)"",""(3582572.0, -7.648304E+7)"""
"Yumbo,Parque de la Estancia,calle 19 con carrera 20,""(3.570042, -76.480791)"",""(3570042.0, -76480791)"""
"Zarzal,Parque Santander,Calle 10 calle 11 con Cra 9 y 10,""(4.39529, -76.071288)"",""(4395290.0, -76071288)"""
"Zarzal,Parque Barrio Bolívar,Calle 14 y 15 con Cra 8 y 9,""(4.397268, -76.068125)"",""(4397268.0, -76068125)"""
"Alcalá,Parque Recreacional,Entre Calle 6B y Kra 5C,""(4.675468, -75.779977)"","
"Guacarí,Plazoleta galería,calle 6 y séptima con carrera 6,""(3.764801, -76.331914)"",""(3764801.0, -76331913.99999999)"""
"Versalles,Casa de la cultura,calle 8 con carrera 2 esquina,""(4.575597, -76.197138)"",""(4575597.0, -76197137.99999999)"""
"Yumbo,Polideportivo Comfandi,calle 14D con carrera 10,""(3.580623, -76.487134)"",""(3580623.0, -76487134.00000001)"""
"Bugalagrande,Parque barrio cocicoimpa,Calle 1 sur con Cra 7 sur,""(4.203232, -76.159826)"",""(4203232.0, -76159825.99999999)"""
"Florida,Parque bosque Municipal,Calle 6 con cra 7,""(3.318485, -76.229138)"",""(3318485.0, -76229137.99999999)"""
"La victoria,Parque lanceros (caso urbano),Calle 6 b con Cra 6 y 5,""(4.521442, -76.035126)"",""(4521442.0, -76035126.00000001)"""
"Sevilla,Vereda Cebollal,vereda El Cebollal,""(4.166356, -75.908098)"",""(4166356.0, -75908097.99999999)"""
"Jamundí,Jamundí ( parque Bello Horizontal),Carrera 6 con Calle 16B,""(3.265211, -76.533906)"",""(3265211.0, -76533905.99999999)"""
"Toro,Barrio El Lazano,Calle 11  sector centro,""(4.609331, -76.078598)"",""(4609331.0, -76078598.00000001)"""
"Caicedonia,Parque Gutierrez y Arango,calle 12 y 13 con carrera 25,""(4.335018, -75.828498)"",""(4335018.0, -75828497.99999999)"""
"Palmira,Parque Llano grande,Calle 31/carrera 44,""(3.528755, -76.317546)"",""(3528755.0, -76317545.99999999)"""
"Buga,Parque José maria cabal,calle 7 y 6 entre carrera 14-15,""(3.900149, -76.30159)"",""(3900149.0, -76301590.00000001)"""
"Florida,Parque chocosito,Cra 20 entre 9 y 10,""(3.32579, -76.23653)"",""(3325790.0, -76236529.99999999)"""
"Dagua,Parque El llanito,Cra 13 entre calle 6 y 7,""(3.659273, -76.692106)"",""(3659273.0, -76692105.99999999)"""
